x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
23256,10108,45043,1,1,1,1,1,47
22212,8053,45157,1,1,1,1,1,18
22189,8015,44984,1,1,1,1,1,16
23579,8703,45974,1,1,1,1,1,47
24572,8363,46623,1,1,1,1,1,14
23387,8784,45826,1,1,1,1,1,12
23336,8955,46865,1,1,1,1,1,21
22097,9095,46141,1,1,1,1,1,12
23542,7577,45684,1,1,1,1,1,5
24404,6911,44965,1,1,1,1,1,20
21893,7761,43865,1,1,1,1,1,6
21852,8274,44875,1,1,1,1,1,5
17661,7230,49575,1,1,1,1,1,20
16440,7247,49887,1,1,1,1,1,6
18437,12423,37841,1,1,1,1,1,27
16279,7541,38214,1,1,1,1,1,15
16209,7350,38804,1,1,1,1,1,15
21085,7286,40736,1,1,1,1,1,47
21566,7722,40937,1,1,1,1,1,17
22787,7527,41577,1,1,1,1,1,15
23210,7653,41979,1,1,1,1,1,8
23448,9239,42965,1,1,1,1,1,5
23311,9325,43045,1,1,1,1,1,8
22608,9162,42835,1,1,1,1,1,17
22134,9702,43044,1,1,1,1,1,5
24130,12222,42716,1,1,1,1,1,14
21072,10720,42933,1,1,1,1,1,16
21141,10424,42667,1,1,1,1,1,11
20979,11086,43580,1,1,1,1,1,17
19164,12375,40099,1,1,1,1,1,13
21448,9942,38691,1,1,1,1,1,2
21563,6416,37549,1,1,1,1,1,12
20560,6548,38803,1,1,1,1,1,25
20734,7008,38361,1,1,1,1,1,24
20737,6385,37868,1,1,1,1,1,61
20800,6556,37554,1,1,1,1,1,23
20645,6461,37766,1,1,1,1,1,20
20677,6359,37877,1,1,1,1,1,36
20440,6772,38165,1,1,1,1,1,15
20434,8260,38367,1,1,1,1,1,17
21824,9328,38441,1,1,1,1,1,6
21326,7842,40230,1,1,1,1,1,47
20993,7071,39339,1,1,1,1,1,35
21074,7079,39549,1,1,1,1,1,23
21032,7048,39669,1,1,1,1,1,19
21311,7264,39708,1,1,1,1,1,15
20820,7092,40222,1,1,1,1,1,12
20354,6419,39270,1,1,1,1,1,41
19045,4776,37872,1,1,1,1,1,32
20154,6059,39764,1,1,1,1,1,41
19545,5637,39595,1,1,1,1,1,6
19611,5264,40336,1,1,1,1,1,9
19686,4258,39339,1,1,1,1,1,47
20368,6006,39868,1,1,1,1,1,16
19566,5875,42672,1,1,1,1,1,3
18992,3675,41705,1,1,1,1,1,19
18967,3822,42095,1,1,1,1,1,47
19465,2480,40820,1,1,1,1,1,15
17402,542,37579,1,1,1,1,1,18
17193,601,37931,1,1,1,1,1,10
16150,267,39711,1,1,1,1,1,33
16359,1006,40191,1,1,1,1,1,9
16853,1490,39127,1,1,1,1,1,22
17130,656,38174,1,1,1,1,1,9
15777,2558,38621,1,1,1,1,1,12
16489,1887,40144,1,1,1,1,1,25
16307,1931,40591,1,1,1,1,1,20
17644,2515,38495,1,1,1,1,1,0
18793,4522,38697,1,1,1,1,1,13
16179,5877,40257,1,1,1,1,1,3
18301,4400,39867,1,1,1,1,1,23
17596,3321,39255,1,1,1,1,1,10
17906,3641,39176,1,1,1,1,1,6
17438,3394,40399,1,1,1,1,1,23
17872,4603,42161,1,1,1,1,1,47
18243,4558,41792,1,1,1,1,1,46
18629,5108,41428,1,1,1,1,1,20
17471,4274,42712,1,1,1,1,1,53
17498,4157,42756,1,1,1,1,1,40
17234,3937,42890,1,1,1,1,1,15
17401,4118,42492,1,1,1,1,1,22
18393,4638,42588,1,1,1,1,1,19
18100,3912,43583,1,1,1,1,1,17
16983,3786,42904,1,1,1,1,1,29
16517,3771,42983,1,1,1,1,1,47
16985,4346,43437,1,1,1,1,1,26
16975,4015,43487,1,1,1,1,1,1
16789,4670,41900,1,1,1,1,1,5
16194,3145,42036,1,1,1,1,1,33
16220,3086,42017,1,1,1,1,1,25
16209,2418,41335,1,1,1,1,1,22
16152,2631,41281,1,1,1,1,1,15
16232,2855,41552,1,1,1,1,1,17
18076,2870,40718,1,1,1,1,1,13
15700,1130,42980,1,1,1,1,1,47
16506,1000,43682,1,1,1,1,1,10
16676,1114,42164,1,1,1,1,1,6
16667,1468,41508,1,1,1,1,1,7
16354,695,40747,1,1,1,1,1,17
15258,39,42633,1,1,1,1,1,6
12562,1664,41267,1,1,1,1,1,27
15536,2640,42049,1,1,1,1,1,23
15616,2662,41995,1,1,1,1,1,24
14885,5237,42323,1,1,1,1,1,13
13410,4623,43717,1,1,1,1,1,2
14718,447,31320,1,1,1,1,1,54
15500,2580,31463,1,1,1,1,1,47
16622,4419,31668,1,1,1,1,1,3
16160,4938,31352,1,1,1,1,1,52
16003,5137,31468,1,1,1,1,1,26
16361,6124,32230,1,1,1,1,1,12
16104,6226,32108,1,1,1,1,1,7
16804,5924,32537,1,1,1,1,1,12
16774,5134,31849,1,1,1,1,1,18
17240,5737,32683,1,1,1,1,1,12
18729,5299,31708,1,1,1,1,1,21
18240,4824,31462,1,1,1,1,1,11
18657,4238,31749,1,1,1,1,1,15
17771,4220,31604,1,1,1,1,1,35
17630,3953,31324,1,1,1,1,1,16
17600,4401,31403,1,1,1,1,1,14
17943,3262,32449,1,1,1,1,1,43
17903,3502,32232,1,1,1,1,1,29
18012,3243,32560,1,1,1,1,1,26
17461,3355,31407,1,1,1,1,1,62
17329,3428,31379,1,1,1,1,1,49
17598,3836,31658,1,1,1,1,1,23
17392,3453,31243,1,1,1,1,1,36
17215,3409,31378,1,1,1,1,1,35
17650,3377,31532,1,1,1,1,1,28
17526,3384,31420,1,1,1,1,1,37
17925,3801,31479,1,1,1,1,1,20
17439,3196,31519,1,1,1,1,1,29
17487,3980,31668,1,1,1,1,1,19
17472,3230,31497,1,1,1,1,1,31
17406,3244,31477,1,1,1,1,1,28
17512,3227,31191,1,1,1,1,1,23
17566,3393,31321,1,1,1,1,1,25
17319,3448,31249,1,1,1,1,1,26
17268,3033,31153,1,1,1,1,1,20
17401,3378,31234,1,1,1,1,1,22
17528,3290,31269,1,1,1,1,1,21
17588,3563,31527,1,1,1,1,1,13
17222,3596,31334,1,1,1,1,1,19
17235,3107,31552,1,1,1,1,1,21
17972,3341,32144,1,1,1,1,1,11
18389,4256,33630,1,1,1,1,1,20
18496,4593,33875,1,1,1,1,1,22
18585,4040,33891,1,1,1,1,1,13
18392,4392,34033,1,1,1,1,1,9
18362,2764,33598,1,1,1,1,1,16
18481,2481,33861,1,1,1,1,1,13
18242,2076,34116,1,1,1,1,1,33
18133,2758,33278,1,1,1,1,1,12
16441,2004,31309,1,1,1,1,1,20
16177,824,32545,1,1,1,1,1,13
